prediction,income,age,location,confidence
1,120000,45,urban,0.8
1,150000,50,suburban,0.9
1,180000,55,suburban,0.9
1,200000,58,urban,0.95
1,140000,48,suburban,0.85
1,160000,52,suburban,0.9
1,190000,56,urban,0.95
1,130000,46,suburban,0.85
1,170000,53,suburban,0.9
1,210000,60,urban,0.95
1,145000,49,suburban,0.9
1,175000,54,suburban,0.9
1,195000,57,urban,0.95
1,125000,47,suburban,0.85
1,155000,51,suburban,0.9
1,185000,55,urban,0.95
1,135000,48,suburban,0.85
1,165000,52,suburban,0.9
1,205000,59,urban,0.95
1,220000,62,suburban,0.95

